> library(readr)
> training_labeled <- read_csv("C:/Users/stuparm/Desktop/master/missing-values-v2/dataset/diabetes/training/training_labeled.csv")
> result = cor(training_labeled)
> round(result, 2)

                 age   sex   bmi blood_pressure   s1    s2    s3    s4    s5    s6     y
age             1.00  0.15  0.19           0.33 0.28  0.23 -0.04  0.18  0.27  0.28  0.19
sex             0.15  1.00  0.09           0.23 0.03  0.14 -0.37  0.32  0.12  0.22  0.03
bmi             0.19  0.09  1.00           0.39 0.29  0.30 -0.37  0.45  0.46  0.39  0.58
blood_pressure  0.33  0.23  0.39           1.00 0.26  0.20 -0.16  0.26  0.39  0.40  0.42
s1              0.28  0.03  0.29           0.26 1.00  0.89  0.05  0.54  0.52  0.33  0.23
s2              0.23  0.14  0.30           0.20 0.89  1.00 -0.20  0.65  0.31  0.29  0.19
s3             -0.04 -0.37 -0.37          -0.16 0.05 -0.20  1.00 -0.74 -0.39 -0.29 -0.39
s4              0.18  0.32  0.45           0.26 0.54  0.65 -0.74  1.00  0.62  0.43  0.44
s5              0.27  0.12  0.46           0.39 0.52  0.31 -0.39  0.62  1.00  0.48  0.56
s6              0.28  0.22  0.39           0.40 0.33  0.29 -0.29  0.43  0.48  1.00  0.39
y               0.19  0.03  0.58           0.42 0.23  0.19 -0.39  0.44  0.56  0.39  1.00
